dataset,g,g_GT,error,score,status
small_v1,1.8252231083916355,5.150483,3.325259891608365,-15.114727052046323,Success
small_v2,5.749664816509492,5.150483,0.5991818165094918,-2.1174505577918303,Success
small_v3,1.0,5.150483,4.150483,-1.2467101712493487,Success
small_v4,2.243203431723816,5.150483,2.9072795682761843,0.008314358085880436,Success
small_v5,2.3890485494095675,5.150483,2.761434450590433,-13.97038859743709,Success
med_v1,6.6634556516460055,9.955168,3.291712348353995,-8.60133918948923,Success
med_v2,6.6634556516460055,9.955168,3.291712348353995,-8.60133918948923,Success
med_v3,6.6634556516460055,9.955168,3.291712348353995,-8.60133918948923,Success
med_v4,6.6634556516460055,9.955168,3.291712348353995,-8.60133918948923,Success
med_v5,6.6634556516460055,9.955168,3.291712348353995,-8.60133918948923,Success
lar_v1,1.0,10.29064,9.29064,-4.357834966488226,Success
lar_v2,1.0,10.29064,9.29064,-2.8559435626222682,Success
lar_v3,3.5001820098809175,10.29064,6.790457990119082,-4.985982128884818,Success
lar_v4,1.0,10.29064,9.29064,-2.383292341770903,Success
lar_v5,1.0,10.29064,9.29064,-1.46862549334943,Success
