dataset,gamma,gamma_GT,error,score,status
led_2s_v1,1.7385275785371057,2.3,0.5614724214628941,0.9959191866049633,Success
led_2s_v2,2.4258854554722835,2.3,0.1258854554722837,0.9624653233955233,Success
led_2s_v3,0.7711932418104719,2.3,1.528806758189528,0.950621184342357,Success
led_2s_v4,1.6920464867768148,2.3,0.607953513223185,0.9931138582567897,Success
led_2s_v5,2.060342894642408,2.3,0.23965710535759177,0.9773916500759587,Success
led_5s_v1,0.8482852434264302,0.92,0.07171475657356985,0.9928960461537248,Success
led_5s_v2,0.7811940831971219,0.92,0.13880591680287813,0.9931676462400755,Success
led_5s_v3,0.714207958000034,0.92,0.20579204199996604,0.9949397009134229,Success
led_5s_v4,0.5722729650248743,0.92,0.3477270349751257,0.9934517503210669,Success
led_5s_v5,0.7178042010934261,0.92,0.2021957989065739,0.9957382531418404,Success
led_10s_v1,0.503809358703928,0.46,0.043809358703927936,0.9561227442640846,Success
led_10s_v2,0.3525715147929184,0.46,0.10742848520708165,0.9938681711371574,Success
led_10s_v3,0.3102862241232836,0.46,0.14971377587671642,0.9901844180588623,Success
led_10s_v4,0.32778487718671473,0.46,0.1322151228132853,0.9902017972998893,Success
led_10s_v5,0.36534563966872574,0.46,0.09465436033127428,0.9928699881760791,Success
