Video_Type,Video_Number,Estimated_Gamma_1_per_s,GT_Gamma_1_per_s,Error,Error_Percent
led_2s,1,2.2999916076660156,2.3,0.0000083923339844,0.000365
led_2s,2,2.29999041557312,2.3,0.00000958442688,0.000417
led_2s,3,2.299990177154541,2.3,0.000009822845459,0.000427
led_2s,5,2.29999041557312,2.3,0.00000958442688,0.000417
led_5s,3,0.9197785258293152,0.92,0.0002214741706848,0.024073
led_5s,4,0.9197784662246704,0.92,0.0002215337753296,0.024079
led_5s,5,0.9197785258293152,0.92,0.0002214741706848,0.024073
led_10s,1,0.4598846435546875,0.46,0.0001153564453125,0.025078
led_10s,2,0.45988455414772034,0.46,0.00011544585227966,0.025097
led_10s,3,0.4598845839500427,0.46,0.0001154160499573,0.025091
led_10s,4,0.45988887548446655,0.46,0.00011112451553345,0.024157
led_10s,5,0.4598844647407532,0.46,0.0001155352592468,0.025116

Summary,2.30 ± 0.00,0.92 ± 0.00,0.46 ± 0.00,2.3,0.92,0.46
