dataset,L,tau,score
45_v1,0.6013186207313774,1.5,0.40025618386542183
45_v2,0.2,0.9276574467134697,0.08598285531910543
45_v3,0.2,1.5,-1.5098360031201155
45_v4,0.2,0.8306006018282951,0.06185429237196266
45_v5,0.2,1.342523999548271,0.15179915407133165
90_v1,0.514903444424678,0.826602269262242,0.7369961830578047
90_v2,0.6015154856059646,0.2914834202901993,0.7893658837120907
90_v3,0.49785644681777214,0.3167198247452454,0.7411098368943917
90_v4,0.5635188538391246,0.387578806950951,0.8372083053183347
90_v5,1.701101036186245,0.990712871998399,0.8263517412741888
150_v1,3.5,0.46185403534209113,0.8483126508087637
150_v2,0.628098617220372,0.3563476161842352,0.9371869989516661
150_v3,0.6918828145133958,0.502583107546176,0.9452622070836965
150_v4,0.7322847189634146,0.25222588954798275,0.9506707821494212
150_v5,0.6243794458877229,0.2130759585237676,0.8798805852740716
