Type,Group,Video,alpha,beta,gamma,delta,alpha_mean,alpha_std,beta_mean,beta_std,gamma_mean,gamma_std,delta_mean,delta_std
run,45,v1,0.4939954579,0.0272577759,146.2357788,,,
run,45,v2,0.4820157588,0.0737348273,109.2865448,,,
run,45,v3,0.5132971406,0.0270425212,147.3727875,,,
run,45,v4,0.5705617070,0.0737349316,120.8049622,,,
run,45,v5,0.4737498736,0.0737499744,52.5000458,,,
run,90,v1,0.9480003715,0.0581929460,146.2707214,25.4380798340,,
run,90,v2,0.8738479614,0.0458986647,148.2460480,25.1434631348,,
run,90,v3,0.9019709826,0.0503173880,165.2856293,24.5151767731,,
run,90,v4,0.7659637332,0.0310558733,155.3638458,23.5751819611,,
run,90,v5,0.8050166368,0.0374794267,142.2843323,24.9062519073,,
run,150,v1,1.4976271391,0.0493962169,151.8211670,28.4794387817,,
run,150,v2,1.4955193996,0.0488570146,136.0829468,28.4136734009,,
run,150,v3,1.5012649298,0.0503249727,150.9347687,27.0299606323,,
run,150,v4,1.5028145313,0.0507217310,140.5299530,23.9740142822,,
run,150,v5,1.5066300631,0.0517113693,168.8417664,24.1260166168,,
summary,45,,,,,0.507,0.039,0.055,0.026,115.240,38.72,,
summary,90,,,,,0.859,0.073,0.045,0.011,151.490,9.05,24.7156,0.7216
summary,150,,,,,1.501,0.004,0.050,0.001,149.642,12.67,26.4046,2.227

