group,video,alpha,mu,gamma,acceleration,mean_acceleration,std_acceleration
low,1,20.154897689819336,0.21048328280448914,153.53298950195312,1.441727,1.411790,0.017938
low,2,19.909269332885742,0.21191610395908356,145.0899658203125,1.385968,1.411790,0.017938
low,3,19.791717529296875,0.2072989046573639,156.5268096923828,1.408208,1.411790,0.017938
low,4,19.631908416748047,0.20438389480113983,147.92779541015625,1.407470,1.411790,0.017938
low,5,20.093095779418945,0.21216018497943878,149.97705078125,1.415576,1.411790,0.017938
med,1,25.034587860107422,0.20823389291763306,145.98622131347656,2.300391,2.272381,0.029498
med,2,24.356748580932617,0.2010234296321869,146.84210205078125,2.249290,2.272381,0.029498
med,3,25.08360481262207,0.20909762382507324,145.81002807617188,2.301059,2.272381,0.029498
med,4,24.189102172851562,0.20033691823482513,149.84613037109375,2.226895,2.272381,0.029498
med,5,24.916484832763672,0.20778560638427734,152.88345336914062,2.284271,2.272381,0.029498
high,1,29.52601432800293,0.1983349323272705,150.67417907714844,3.141565,3.142165,0.050210
high,2,30.18868064880371,0.20991185307502747,146.5580291748047,3.153001,3.142165,0.050210
high,3,29.646833419799805,0.2066686898469925,155.2357940673828,3.090528,3.142165,0.050210
high,4,30.346115112304688,0.20392544567584991,155.51507568359375,3.229814,3.142165,0.050210
high,5,29.32041358947754,0.1996859312057495,150.43539428710938,3.095918,3.142165,0.050210
