Type,Group,Video,k,k_mean,k_std
run,med,v1,0.012939131818711758,,,
run,med,v2,0.01468360610306263,,,
run,med,v3,0.012667814269661903,,,
run,med,v4,0.012667814269661903,,,
run,med,v5,0.013537723571062088,,,
run,small,v1,0.009547854773700237,,,
run,small,v2,0.008740592747926712,,,
run,small,v3,0.00936149526387453,,,
run,small,v4,0.008895252831280231,,,
run,small,v5,0.00979131180793047,,,
run,large,v1,0.01604248583316803,,,
run,large,v2,0.017080040648579597,,,
run,large,v3,0.014780080877244473,,,
run,large,v4,0.016823863610625267,,,
run,large,v5,0.016814660280942917,,,
summary,med,,,,0.013299,0.000852
summary,small,,,,0.009267,0.000441
summary,large,,,,0.016308,0.000939
