dataset,architecture,L_mean,L_sd,tau_mean,tau_sd
45,LTC,0.493,0.209,0.05475,0.02327
45,LSTM,0.492,0.209,0.05467,0.02312
45,GRU,0.493,0.209,0.05472,0.02316
45,TRANSFORMER,0.493,0.209,0.05474,0.02326
90,LTC,0.985,0.419,0.05475,0.02327
90,LSTM,0.985,0.418,0.05472,0.02316
90,GRU,0.985,0.418,0.05471,0.02314
90,TRANSFORMER,1.071,0.428,0.05396,0.02132
150,LTC,1.357,0.698,0.04525,0.02327
150,LSTM,1.357,0.697,0.04527,0.02316
150,GRU,1.357,0.697,0.04528,0.02314
150,TRANSFORMER,1.357,0.698,0.04525,0.02327
